rank_2020,city,state,largest_city_in_state,state_capital,federal_capital,population_2020,population_2010,absolute_change,percent_change,land_area_sqmi,land_area_sqkm,pop_density_2020_sqmi,pop_density_sqkm,latitude,longitude
88,Laredo,Texas,FALSE,FALSE,FALSE,255205,236091,19114,8.10,106.5  ,275.8 ,2396 ,925,27°34′N,99°29′W
89,Winston–Salem,North Carolina,FALSE,FALSE,FALSE,249545,229617,19928,8.68,132.7  ,343.7 ,1881 ,726,36°06′N,80°16′W
90,Chesapeake,Virginia,FALSE,FALSE,FALSE,249422,222209,27213,12.25,338.5  ,876.7 ,737 ,285,36°40′N,76°18′W
91,Glendale,Arizona,FALSE,FALSE,FALSE,248325,226721,21604,9.53,61.6  ,159.5 ,4031 ,1556,33°32′N,112°11′W
92,Garland,Texas,FALSE,FALSE,FALSE,246018,226876,19142,8.44,57.1  ,147.9 ,4309 ,1664,32°54′N,96°38′W
93,Scottsdale,Arizona,FALSE,FALSE,FALSE,241361,217385,23976,11.03,184.0  ,476.6 ,1312 ,507,33°41′N,111°52′W
94,Norfolk,Virginia,FALSE,FALSE,FALSE,238005,242803,-4798,-1.98,53.3  ,138.0 ,4465 ,1724,36°55′N,76°14′W
95,Boise,Idaho,TRUE,TRUE,FALSE,235684,205671,30013,14.59,84.0  ,217.6 ,2806 ,1083,43°36′N,116°14′W
96,Fremont,California,FALSE,FALSE,FALSE,230504,214089,16415,7.67,78.3  ,202.8 ,2944 ,1137,37°29′N,121°56′W
97,Spokane,Washington,FALSE,FALSE,FALSE,228989,208916,20073,9.61,68.8  ,178.2 ,3328 ,1285,47°40′N,117°26′W
98,Santa Clarita,California,FALSE,FALSE,FALSE,228673,176320,52353,29.69,70.8  ,183.4 ,3230 ,1250,34°24′N,118°30′W
99,Baton Rouge,Louisiana,FALSE,TRUE,FALSE,227470,229493,-2023,-0.88,86.3  ,223.5 ,2636 ,1018,30°26′N,91°08′W
100,Richmond,Virginia,FALSE,TRUE,FALSE,226610,204214,22396,10.97,59.9  ,155.1 ,3783 ,1461,37°32′N,77°28′W
